,operation,one,two
0,SUB,الفصل,الذى
1,DEL,الثاني,
2,DEL,عشر,
3,SUB,الذىيضحك,لتتحك
4,INS,,ا
5,SUB,اخيرا,نيا
6,SUB,يضحك,يضحثثا
